size,allowed_shape,forbidden_shape,forbidden_size,cell_count_pop1,cell_count_pop2,cell_radius,cell_interaction_radius,distribution,dist_params_pop1,dist_params_pop2,pixels_no_interaction,pixels_pop1_only,pixels_pop2_only,pixels_both_populations,total_pixels,varied_parameter,repeat
100,square,none,0.0,500,500,0.02,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2527,2282,1691,3500,10000,cell_radius,4
100,square,none,0.0,500,500,0.01,0.01,normal,"(0.50, 0.10)","(0.50, 0.10)",7970,1031,999,0,10000,cell_interaction_radius,0
100,square,none,0.0,500,500,0.01,0.01,normal,"(0.50, 0.10)","(0.50, 0.10)",8162,867,971,0,10000,cell_interaction_radius,1
100,square,none,0.0,500,500,0.01,0.01,normal,"(0.50, 0.10)","(0.50, 0.10)",8112,951,937,0,10000,cell_interaction_radius,2
100,square,none,0.0,500,500,0.01,0.01,normal,"(0.50, 0.10)","(0.50, 0.10)",7896,1081,1023,0,10000,cell_interaction_radius,3
100,square,none,0.0,500,500,0.01,0.01,normal,"(0.50, 0.10)","(0.50, 0.10)",7935,1056,1009,0,10000,cell_interaction_radius,4
100,square,none,0.0,500,500,0.01,0.03,normal,"(0.50, 0.10)","(0.50, 0.10)",2907,1411,1592,4090,10000,cell_interaction_radius,0
100,square,none,0.0,500,500,0.01,0.03,normal,"(0.50, 0.10)","(0.50, 0.10)",4104,1232,1488,3176,10000,cell_interaction_radius,1
100,square,none,0.0,500,500,0.01,0.03,normal,"(0.50, 0.10)","(0.50, 0.10)",3364,1400,1350,3886,10000,cell_interaction_radius,2
100,square,none,0.0,500,500,0.01,0.03,normal,"(0.50, 0.10)","(0.50, 0.10)",3884,1505,1247,3364,10000,cell_interaction_radius,3
100,square,none,0.0,500,500,0.01,0.03,normal,"(0.50, 0.10)","(0.50, 0.10)",3852,1374,1370,3404,10000,cell_interaction_radius,4
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2248,917,729,6106,10000,cell_interaction_radius,0
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2301,660,1259,5780,10000,cell_interaction_radius,1
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2662,803,615,5920,10000,cell_interaction_radius,2
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2614,759,962,5665,10000,cell_interaction_radius,3
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2361,616,877,6146,10000,cell_interaction_radius,4
100,square,none,0.0,500,500,0.01,0.07,normal,"(0.50, 0.10)","(0.50, 0.10)",1566,676,394,7364,10000,cell_interaction_radius,0
100,square,none,0.0,500,500,0.01,0.07,normal,"(0.50, 0.10)","(0.50, 0.10)",1447,741,495,7317,10000,cell_interaction_radius,1
100,square,none,0.0,500,500,0.01,0.07,normal,"(0.50, 0.10)","(0.50, 0.10)",1539,628,342,7491,10000,cell_interaction_radius,2
100,square,none,0.0,500,500,0.01,0.07,normal,"(0.50, 0.10)","(0.50, 0.10)",2067,636,748,6549,10000,cell_interaction_radius,3
100,square,none,0.0,500,500,0.01,0.07,normal,"(0.50, 0.10)","(0.50, 0.10)",1443,665,534,7358,10000,cell_interaction_radius,4
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",1396,978,596,7030,10000,distribution_type,0
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2654,824,778,5744,10000,distribution_type,1
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2278,1070,674,5978,10000,distribution_type,2
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2053,970,906,6071,10000,distribution_type,3
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2251,882,666,6201,10000,distribution_type,4
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2100,1042,912,5946,10000,dist_params,0
